customer_id,transaction_date,amount
CUST0031,2026-08-11,2512.86
CUST0312,2026-08-08,253.91
CUST0102,2026-08-15,951.86
CUST0004,2026-08-09,1845.81
CUST0120,2026-07-31,1089.77
CUST0172,2026-02-13,484.0
CUST0240,2026-04-08,793.73
CUST0005,2026-08-15,1301.46
CUST0044,2026-08-02,899.22
CUST0195,2026-02-01,323.19
CUST0014,2026-08-15,2233.27
CUST0489,2026-07-10,249.56
CUST0284,2026-08-02,591.37
CUST0088,2026-08-02,2470.35
CUST0405,2026-05-27,220.52
CUST0072,2026-08-05,1889.99
CUST0212,2026-04-25,301.0
CUST0069,2026-07-31,2321.56
CUST0056,2026-08-11,2860.53
CUST0081,2026-07-29,1118.92
CUST0294,2026-08-02,538.1
CUST0184,2026-02-13,533.7
CUST0168,2026-03-02,895.5
CUST0067,2026-08-14,1291.95
CUST0183,2026-03-23,382.95
CUST0043,2026-08-09,1949.54
CUST0227,2026-04-24,664.88
CUST0226,2026-05-14,480.69
CUST0030,2026-08-02,1950.74
CUST0019,2026-08-01,2184.68
CUST0169,2026-03-20,603.73
CUST0307,2026-08-08,239.72
CUST0096,2026-08-09,1925.7
CUST0033,2026-08-02,1209.91
CUST0227,2026-03-09,843.0
CUST0478,2026-06-28,324.23
CUST0152,2026-05-05,417.07
CUST0036,2026-08-02,2127.03
CUST0004,2026-07-28,869.14
CUST0033,2026-08-08,2233.01
CUST0003,2026-08-11,2405.13
CUST0008,2026-08-07,1413.52
CUST0121,2026-03-26,576.1
CUST0127,2026-05-01,748.24
CUST0328,2026-08-12,477.27
CUST0034,2026-08-09,1164.13
CUST0155,2026-04-23,753.6
CUST0056,2026-08-14,1070.54
CUST0228,2026-05-09,1086.49
CUST0089,2026-08-06,2338.49
CUST0240,2026-03-02,856.75
CUST0460,2026-04-18,253.72
CUST0123,2026-02-02,1182.33
CUST0146,2026-05-01,532.41
CUST0231,2026-03-05,788.7
CUST0066,2026-08-13,2407.43
CUST0153,2026-03-24,1053.41
CUST0038,2026-08-10,947.79
CUST0040,2026-07-30,1708.15
CUST0150,2026-02-11,519.06
CUST0300,2026-08-02,216.36
CUST0068,2026-08-08,1852.11
CUST0115,2026-08-14,2295.01
CUST0149,2026-02-28,1000.22
CUST0060,2026-07-29,2731.36
CUST0119,2026-08-03,1269.47
CUST0023,2026-08-02,2348.98
CUST0317,2026-08-01,269.66
CUST0019,2026-08-12,2018.48
CUST0011,2026-08-13,1363.66
CUST0218,2026-05-14,683.34
CUST0445,2026-07-02,308.49
CUST0037,2026-08-04,1108.25
CUST0226,2026-03-31,827.96
CUST0196,2026-03-05,860.48
